sep=,
"Time","max","avg","min"
2020-10-03 02:38:00,87,79.6,70
2020-10-03 02:40:00,87,79.0,75
2020-10-03 02:42:00,88,78.3,70
2020-10-03 02:44:00,94,80.6,76
2020-10-03 02:46:00,87,79.3,71
2020-10-03 02:48:00,94,78.4,70
2020-10-03 02:50:00,85,77.7,74
2020-10-03 02:52:00,88,79.1,74
2020-10-03 02:54:00,92,80.6,76
2020-10-03 02:56:00,96,80.1,76
2020-10-03 02:58:00,89,79.6,74
2020-10-03 03:00:00,85,78.9,72
2020-10-03 03:02:00,84,78.6,74
2020-10-03 03:04:00,130,83,74
2020-10-03 03:06:00,100,80.1,74
2020-10-03 03:08:00,101,80.4,76
2020-10-03 03:10:00,93,79.1,74
2020-10-03 03:12:00,90,80.5,74
2020-10-03 03:14:00,85,78.4,74
2020-10-03 03:16:00,95,80.6,73
2020-10-03 03:18:00,97,78.5,74
2020-10-03 03:20:00,85,79.6,74
2020-10-03 03:22:00,89,79.7,74
2020-10-03 03:24:00,85,78.2,73
2020-10-03 03:26:00,86,79.6,74
2020-10-03 03:28:00,102,79.7,73
2020-10-03 03:30:00,95,79.6,74
2020-10-03 03:32:00,87,79.5,72
2020-10-03 03:34:00,85,79.2,72
2020-10-03 03:36:00,87,79.1,74
2020-10-03 03:38:00,87,78.8,74
2020-10-03 03:40:00,99,80.0,73
2020-10-03 03:42:00,91,80.9,74
2020-10-03 03:44:00,84,78.8,76
2020-10-03 03:46:00,91,78.8,73
2020-10-03 03:48:00,84,79.8,77
2020-10-03 03:50:00,96,81.8,73
2020-10-03 03:52:00,89,78.9,74
2020-10-03 03:54:00,97,79.9,74
2020-10-03 03:56:00,87,79.8,75
2020-10-03 03:58:00,138,82.9,74
2020-10-03 04:00:00,96,81.0,76
2020-10-03 04:02:00,139,81,72
2020-10-03 04:04:00,87,79.2,74
2020-10-03 04:06:00,90,79.4,73
2020-10-03 04:08:00,83,78.3,74
2020-10-03 04:10:00,86,78.5,72
2020-10-03 04:12:00,87,78.4,71
2020-10-03 04:14:00,141,82.7,74
2020-10-03 04:16:00,88,80.0,74
2020-10-03 04:18:00,89,78.9,74
2020-10-03 04:20:00,182,84.6,75
2020-10-03 04:22:00,101,80.2,75
2020-10-03 04:24:00,164,83.4,75
2020-10-03 04:26:00,86,79.5,75
2020-10-03 04:28:00,91,79.2,72
2020-10-03 04:30:00,90,79.9,74
2020-10-03 04:32:00,91,79.8,73
2020-10-03 04:34:00,91,79.5,73
2020-10-03 04:36:00,87,78.6,72
2020-10-03 04:38:00,119,81.2,74
2020-10-03 04:40:00,95,80.7,74
2020-10-03 04:42:00,92,79.5,73
2020-10-03 04:44:00,86,78.4,73
2020-10-03 04:46:00,141,84.1,74
2020-10-03 04:48:00,87,80.0,76
2020-10-03 04:50:00,87,79.1,74
2020-10-03 04:52:00,100,79.6,74
2020-10-03 04:54:00,90,79.7,71
2020-10-03 04:56:00,86,79.4,73
2020-10-03 04:58:00,96,78.9,71
2020-10-03 05:00:00,84,78.2,71
2020-10-03 05:02:00,86,78.7,71
2020-10-03 05:04:00,89,79.8,76
2020-10-03 05:06:00,87,78.2,72
2020-10-03 05:08:00,94,78.4,73
2020-10-03 05:10:00,96,79.4,75
2020-10-03 05:12:00,91,79.6,74
2020-10-03 05:14:00,85,77.7,71
2020-10-03 05:16:00,83,78.8,74
2020-10-03 05:18:00,82,78.8,74
2020-10-03 05:20:00,142,81,73
2020-10-03 05:22:00,91,80.7,72
2020-10-03 05:24:00,86,78.0,72
2020-10-03 05:26:00,89,78.9,75
2020-10-03 05:28:00,85,78.8,74
2020-10-03 05:30:00,85,79.3,74
2020-10-03 05:32:00,88,79.2,75
2020-10-03 05:34:00,84,78.2,75
2020-10-03 05:36:00,90,78.9,75
2020-10-03 05:38:00,94,79.1,72
2020-10-03 05:40:00,90,79.3,76
2020-10-03 05:42:00,88,78.7,70
2020-10-03 05:44:00,89,81.5,77
2020-10-03 05:46:00,91,78.5,71
2020-10-03 05:48:00,96,80.1,75
2020-10-03 05:50:00,91,79.9,75
2020-10-03 05:52:00,99,80.7,71
2020-10-03 05:54:00,93,79.0,71
2020-10-03 05:56:00,87,78.7,74
2020-10-03 05:58:00,100,80.5,70
2020-10-03 06:00:00,85,78.8,75
2020-10-03 06:02:00,85,78.7,73
2020-10-03 06:04:00,93,80.4,72
2020-10-03 06:06:00,92,79.3,73
2020-10-03 06:08:00,85,79.1,74
2020-10-03 06:10:00,88,79.0,75
2020-10-03 06:12:00,87,79.1,75
2020-10-03 06:14:00,88,79.2,73
2020-10-03 06:16:00,92,78.9,74
2020-10-03 06:18:00,84,77.7,72
2020-10-03 06:20:00,123,81.6,75
2020-10-03 06:22:00,85,78.1,74
2020-10-03 06:24:00,128,80.1,72
2020-10-03 06:26:00,87,78.9,71
2020-10-03 06:28:00,86,78.9,74
2020-10-03 06:30:00,97,80.2,73
2020-10-03 06:32:00,132,81.8,73
2020-10-03 06:34:00,87,79.3,74
2020-10-03 06:36:00,93,81.2,74
2020-10-03 06:38:00,133,81.6,75
2020-10-03 06:40:00,93,79.7,75
